잔여표시관리번호,지주관리번호,방향,설치일,교체일,X좌표,Y좌표,제조업체,작업구분,표출구분,종류,신규정규화ID,상태,공사관리번호,잔여표시관리번호,연번-이력ID,위치정보,FRM_CDE,MNG_AGEN,XGEO,A074_RGB_CDE
25-0000010562,02-0000085293,96 ,20131209  ,20131209  ,205513.5807283,560379.750767441,아이엔티티,006,002,1  ,5417627    ,001,2014-0101-022,25-010562,12879,1,001,-,,001
25-0000010249,02-0000109795,222,20131220,20131220,205876.08718,545579.80866,-,006,001,1  ,5127361    ,001,2013-0401-004,25-010249,12566,1,004,-,,001
25-0000016956,02-0000052176,-,20200730  ,20200730  ,199620.1277787,548332.063799219,아이엔티티,001,002,1  ,3293816    ,001,2020-0401-001,25-016956,19273,-,001,-,,001
25-0000010608,02-0000178431,226,20131218  ,20131218  ,212053.119938479,547693.141726416,-,006,002,0  ,6241782    ,001,2013-0401-005,25-010608,12925,1,004,-,,001
25-0000001659,02-0000063505,114,20070601  ,20220630  ,183773.639837373,551478.570611121,(주)한길에이치씨,001,002,1  ,0289143    ,001,2021-0201-082,25-001659,4276,1,002,-,,001
25-0000000912,02-0000039319,332,20130604,20130604,205007.94657,546742.8754,명신전자,001,002,1  ,-,001,2013-0101-102,25-000912,2980,1,001,-,,001
25-0000010807,02-0000026063,190,20000101,20000101,190300.09557,543256.44408,-,001,002,1  ,2113201    ,001,-,25-010807,13124,1,-,-,,001
25-0000010809,02-0000026052,74 ,20000101  ,20000101  ,190435.268289072,543360.993045463,-,001,002,1  ,2113522    ,001,-,25-010809,13126,1,-,-,,001
25-0000010812,02-0000147604,74 ,20000101  ,20000101  ,190394.330789072,543330.118045462,-,001,002,1  ,2113414    ,001,-,25-010812,13129,1,-,-,,001
25-0000010894,02-0000113084,66 ,20000101  ,20000101  ,186789.499999918,550394.38749396,-,001,002,1  ,1247223    ,001,-,25-010894,13211,1,-,-,,001
25-0000010897,02-0000070405,100,20140519  ,20140519  ,188896.34394823,547606.236841324,-,001,002,0  ,1281475    ,001,-,25-010897,13214,1,006,-,,001
25-0000010898,02-0000114129,138,20140519  ,20140519  ,188910.452945719,547605.565947607,-,001,002,0  ,1281474    ,001,-,25-010898,13215,1,006,-,,001
25-0000010899,02-0000101502,360,20140519  ,20140519  ,188893.015277605,547580.328289914,-,001,002,0  ,1281462    ,001,-,25-010899,13216,1,006,-,,001
25-0000010903,02-0000101881,196,20140519,20140519,186425.77756,546919.19443,-,001,002,0  ,1230531    ,001,-,25-010903,13220,1,006,-,,001
25-0000010907,02-0000162580,114,20140519  ,20140519  ,187327.199999924,546916.874993552,-,001,002,1  ,1250331    ,001,-,25-010907,13224,1,006,-,,001
25-0000010918,02-0000058633,48 ,20140520  ,20140520  ,185374.462499911,548583.293743749,-,001,002,1  ,1213363    ,001,-,25-010918,13235,1,001,-,,001
25-0000010923,02-0000107298,274,20000101  ,20000101  ,193339.424999959,547691.431243647,-,001,002,1  ,2271382    ,001,-,25-010923,13240,1,-,-,,001
25-0000010929,02-0000159590,289,20000101  ,20000101  ,193205.437499958,547788.281243657,-,001,002,1  ,2272005    ,001,-,25-010929,13246,1,001,-,,001
25-0000010935,02-0000156589,298,20000101  ,20000101  ,194084.739138381,546708.413274438,-,001,002,1  ,2189894    ,001,-,25-010935,13252,1,-,-,,001
25-0000010936,02-0000156590,11 ,20000101  ,20000101  ,194067.47923877,546698.356806986,-,001,002,1  ,2189785    ,001,-,25-010936,13253,1,-,-,,001
25-0000009799,02-0000104370,56 ,20000101,20000101,192591.63375,551178.6696,-,001,001,0  ,2258882    ,001,-,25-009799,12116,1,-,-,,001
25-0000001809,02-0000118633,0  ,20070601,20070601,187965.33611,544568.03196,-,006,001,0  ,-,001,2013-0101-062,25-001809,7682,1,003,-,,001
25-0000013470,02-0000195254,109,20070601  ,20220630  ,183803.500948058,551465.515055779,(주)한길에이치씨,001,002,1  ,0289245    ,001,2021-0201-082,25-013470,15787,1,002,-,,001
25-0000010930,02-0000156587,310,20000101  ,20000101  ,194054.737499963,546714.193743531,-,001,002,1  ,21897910   ,001,-,25-010930,13247,1,-,-,,001
25-0000010955,02-0000061444,237,20140520  ,20140520  ,187290.072913091,546028.616484384,-,001,002,0  ,1158253    ,001,-,25-010955,13272,1,006,-,,001
25-0000019947,02-0000221032,-,-,-,-,-,-,001,002,1  ,3180121    ,001,-,25-019947,22264,-,001,-,,001
25-0000010959,02-0000133335,303,20000101  ,20000101  ,193330.435912123,546900.109116538,-,001,002,1  ,2270332    ,001,-,25-010959,13276,1,-,-,,001
25-0000010961,02-0000163100,249,20000101  ,20000101  ,193288.64631,546969.49203,-,001,002,1  ,2270242    ,001,-,25-010961,13278,1,-,-,,001
25-0000010967,02-0000025083,356,20000101  ,20000101  ,193904.024999963,546942.506243557,-,001,002,1  ,2280433    ,001,-,25-010967,13284,1,-,-,,001
25-0000010977,02-0000134276,290,20000101,20000101,191371.77928,546161.45919,-,001,001,0  ,2138382    ,001,-,25-010977,13294,1,-,-,,001
25-0000011015,02-0000026611,74 ,20000101  ,20000101  ,187299.724999923,544195.668743238,-,001,002,1  ,1154283    ,001,-,25-011015,13332,1,-,-,,001
25-0000011019,02-0000134245,26 ,20000101  ,20000101  ,187202.249999922,544219.343743241,-,001,002,1  ,1154096    ,001,-,25-011019,13336,1,-,-,,001
25-0000009240,02-0000174725,180,20121120  ,20220630  ,183769.624999901,551262.368744061,(주)한길에이치씨,001,002,1  ,0289109    ,001,2021-0201-082,25-009240,11722,1,002,-,,001
25-0000019452,02-0000109706,-,20220510  ,20220510  ,204011.26167225,543006.765296292,-,001,002,1  ,4182652    ,001,2022-0101-038,25-019452,21769,-,001,-,,001
25-0000011035,02-0000066757,188,20140523,20140523,188843.2097,546880.77104,-,001,002,1  ,1280321    ,001,-,25-011035,13352,1,006,-,,001
25-0000011036,02-0000154366,168,20000101  ,20000101  ,189109.897794051,545138.568743346,-,001,002,0  ,1186875    ,001,-,25-011036,13353,1,001,-,,001
25-0000011051,02-0000178922,249,20140526,20140526,192453.24131,542511.90657,-,001,002,1  ,2151551    ,001,-,25-011051,13368,1,006,-,,001
25-0000011090,02-0000086327,291,20000101,20000101,202922.19923,562050.86875,-,001,002,1  ,4560462    ,001,-,25-011090,13407,1,-,-,,001
25-0000019451,02-0000220363,-,20220510  ,20220510  ,204023.136672248,543010.015296292,-,001,002,1  ,4182651    ,001,2022-0101-038,25-019451,21768,-,001,-,,001
25-0000019450,02-0000220360,-,20220511  ,20220511  ,208590.157004993,540846.570218415,-,001,002,1  ,5078811    ,001,2022-0101-038,25-019450,21767,-,002,-,,001
25-0000011110,02-0000178943,238,20140527,20140527,192317.27096,543069.86494,-,001,001,1  ,2152261    ,001,-,25-011110,13427,1,006,-,,001
25-0000011116,02-0000107505,338,20140527,20140527,192407.75977,542836.22201,-,001,002,0  ,2152413    ,001,-,25-011116,13433,1,006,-,,001
25-0000011117,02-0000097303,162,20140527,20140527,192406.65371,542824.96833,-,001,002,0  ,2152414    ,001,-,25-011117,13434,1,006,-,,001
25-0000011118,02-0000025554,247,20140527,20140527,192405.46329,542815.90051,-,001,002,0  ,2152415    ,001,-,25-011118,13435,1,006,-,,001
25-0000011121,02-0000097050,34 ,20140527,20140527,192464.84932,542253.67913,-,001,002,1  ,2150591    ,001,-,25-011121,13438,1,006,-,,001
25-0000011122,02-0000023155,255,20140527  ,20140527  ,192485.807961208,542247.054606653,-,001,002,1  ,2150691    ,001,-,25-011122,13439,1,006,-,,001
25-0000011225,02-0000088896,157,20000101  ,20000101  ,210495.937500064,543719.65624318,-,001,002,0  ,6113693    ,001,-,25-011225,13542,1,-,-,,001
25-0000011233,02-0000159961,217,20000101  ,20000101  ,211454.285905103,543747.893127201,-,001,002,0  ,6133592    ,001,-,25-011233,13550,1,-,-,,001
25-0000011239,02-0000016438,276,20000101,20000101,209497.42028,546070.87853,-,001,001,1  ,5198661    ,001,-,25-011239,13556,1,-,-,,001
25-0000018821,02-0000168495,-,20211219  ,20211219  ,193993.987329979,556950.635421463,태대,001,002,1  ,2480641    ,001,2021-0501-008,25-018821,21138,-,001,-,,001
25-0000011250,02-0000016785,82 ,20000101  ,20000101  ,211821.1153154,545543.098498094,-,001,002,0  ,6147252    ,001,-,25-011250,13567,1,-,-,,001
25-0000011272,02-0000041757,25 ,20000101,20000101,208175.603123863,545808.571262631,-,001,002,0  ,5178012    ,001,-,25-011272,13589,1,-,-,,001
25-0000018820,02-0000168496,-,20211219  ,20211219  ,193992.631477599,556936.366273842,태대,001,002,1  ,2480631    ,001,2021-0501-008,25-018820,21137,-,001,-,,001
25-0000011285,02-0000020178,216,20140616  ,20140616  ,195297.370413034,543072.886419207,-,001,002,1  ,3112264    ,001,-,25-011285,13602,1,006,-,,001
25-0000011289,02-0000020179,23 ,20140616  ,20140616  ,195325.647740935,543043.649993103,-,001,002,1  ,3112256    ,001,-,25-011289,13606,1,006,-,,001
25-0000011297,02-0000099562,184,20000101  ,20000101  ,212332.170283411,544852.071976503,-,001,002,1  ,6156322    ,001,-,25-011297,13614,1,-,-,,001
25-0000011324,02-0000074829,20 ,20140618,20140618,202052.86444,555092.0587,-,001,001,0  ,4346761    ,001,-,25-011324,13641,1,003,-,,001
25-0000011337,02-0000135934,301,20140619  ,20140619  ,200989.262500004,554052.806244394,-,001,002,1  ,43246610   ,001,-,25-011337,13654,1,001,-,,001
25-0000011356,02-0000171331,218,20000101,20000101,209576.6554,541879.28731,-,001,001,0  ,5190721    ,001,-,25-011356,13673,1,-,-,,001
25-0000011447,02-0000163296,351,20140626  ,20140626  ,203631.375000021,555734.843744591,-,001,002,0  ,4377993    ,001,-,25-011447,13764,1,001,-,,001
25-0000011467,02-0000171222,360,20000101,20000101,211533.40994,542101.62592,-,001,001,0  ,6130771    ,001,-,25-011467,13784,1,-,-,,001
25-0000011468,02-0000179175,32 ,20000101  ,20000101  ,211518.34272568,542062.968465762,-,001,002,0  ,6130665    ,001,-,25-011468,13785,1,-,-,,001
25-0000010062,02-0000067110,104,20000101,20000101,187971.28037,549048.26744,-,001,001,1  ,1264551    ,001,-,25-010062,12379,1,-,-,,001
25-0000010071,02-0000056823,147,20000101,20000101,188011.32441,547573.92364,-,001,001,0  ,1261662    ,001,-,25-010071,12388,1,-,-,,001
25-0000010086,02-0000177440,296,20000101  ,20000101  ,185140.078341165,545962.803024397,-,001,002,1  ,1108944    ,001,-,25-010086,12403,1,-,-,,001
25-0000018819,02-0000119812,-,20211219  ,20211219  ,195294.426139691,562105.420157594,태대,001,002,1  ,3510271    ,001,2021-0501-008,25-018819,21136,-,001,-,,001
25-0000010095,02-0000019980,243,20000101  ,20000101  ,189035.88717,547400.99215,-,001,002,1  ,1281721    ,001,-,25-010095,12412,1,-,-,,001
25-0000018818,02-0000119811,-,20211219  ,20211219  ,195288.051139692,562083.232657594,태대,001,002,1  ,3510262    ,001,2021-0501-008,25-018818,21135,-,001,-,,001
25-0000010171,02-0000156404,303,20000101  ,20000101  ,188977.693543644,549732.670748326,-,001,002,1  ,1285699    ,001,-,25-010171,12488,1,-,-,,001
25-0000010176,02-0000156394,14 ,20000101  ,20000101  ,188292.462499928,549996.343743916,-,001,002,1  ,1276244    ,001,-,25-010176,12493,1,-,-,,001
25-0000010189,02-0000177481,272,20000101,20000101,186770.80632,550821.85662,-,001,002,0  ,1248111    ,001,-,25-010189,12506,1,-,-,,001
25-0000010191,02-0000177482,127,20000101,20000101,186756.58876,550814.95781,-,001,002,0  ,1248113    ,001,-,25-010191,12508,1,-,-,,001
25-0000010200,02-0000177486,100,20000101  ,20000101  ,186223.420815474,550934.165358645,-,001,002,0  ,1238033    ,001,-,25-010200,12517,1,001,-,,001
25-0000010201,02-0000177487,116,20000101  ,20000101  ,186231.762139416,550948.079360911,-,001,002,0  ,1238133    ,001,-,25-010201,12518,1,-,-,,001
25-0000018817,02-0000119811,-,20211219  ,20211219  ,195286.61363969,562085.357657594,태대,001,002,1  ,3510261    ,001,2021-0501-008,25-018817,21134,-,001,-,,001
25-0000010212,02-0000174610,36 ,20000101  ,20000101  ,183012.564177705,551350.729613954,-,001,002,1  ,0269623    ,001,-,25-010212,12529,1,-,-,,001
25-0000018816,02-0000119826,-,20211219  ,20211219  ,195275.613639692,562072.732657594,태대,001,002,1  ,3510163    ,001,2021-0501-008,25-018816,21133,-,001,-,,001
25-0000005986,02-0000002540,0  ,20100609,20100609,193951.66134,552223.10891,진우산전,006,001,1  ,-,001,2013-0101-016,25-005986,192,1,003,-,,001
25-0000006019,02-0000006860,129,20100610,20100610,193396.27529,552996.21997,세양테크,006,001,0  ,-,001,2013-0101-016,25-006019,507,1,003,-,,001
25-0000010737,02-0000178116,265,20000101,20000101,184962.89835,548279.6497,-,001,002,1  ,1203502    ,001,-,25-010737,13054,1,001,-,,001
