잔여표시관리번호,지주관리번호,방향,설치일,교체일,X좌표,Y좌표,제조업체,작업구분,표출구분,종류,신규정규화ID,상태,공사관리번호,잔여표시관리번호,연번-이력ID,위치정보,FRM_CDE,MNG_AGEN,XGEO,A074_RGB_CDE
25-0000001739,02-0000092200,0  ,20070601,20070601,205204.81154,562412.00693,-,001,001,0  ,-,001,2000-0000-000,25-001739,6024,1,-,-,,001
25-0000002026,02-0000092210,0  ,20080101,20080402,205478.0135,562373.1881,아이엔티티,004,001,0  ,-,001,2007-0501-477,25-002026,6026,1,001,-,,001
25-0000002026,02-0000092210,0  ,20080101  ,20080402  ,205478.950000034,562367.031245377,-,001,002,0  ,5511621    ,001,2007-0501-477,25-002026,6027,1,001,-,,001
25-0000002027,02-0000092238,0  ,20080101  ,20080402  ,205461.652479083,562347.991720685,아이엔티티,001,002,0  ,5511511    ,001,2007-0501-477,25-002027,6028,1,001,-,,001
25-0000003155,02-0000092297,0  ,20090323  ,20090323  ,204892.259031516,564020.288709793,(주)에이치케이,001,002,0  ,5504451    ,001,2009-0101-012,25-003155,6029,1,001,-,,001
25-0000001018,02-0000092298,0  ,20090323  ,20090323  ,204867.397920828,564013.830373916,(주)에이치케이,001,002,0  ,5504352    ,001,2009-0101-012,25-001018,6030,1,001,-,,001
25-0000001023,02-0000092536,0  ,20070601,20070601,198421.41917,542445.84686,-,002,001,0  ,-,001,2000-0000-000,25-001023,6034,1,-,-,,001
25-0000001023,02-0000092536,0  ,20070601,20070601,198421.41917,542445.84686,-,001,001,0  ,-,001,2000-0000-000,25-001023,6035,1,-,-,,001
25-0000001024,02-0000092537,0  ,20070601  ,20070601  ,198418.002084912,542431.210235877,-,001,002,0  ,3171436    ,001,2008-0101-000,25-001024,6036,1,-,-,,001
25-0000001732,02-0000092549,0  ,20070601,20070601,195835.81672,541567.03397,-,002,001,0  ,-,001,2000-0000-000,25-001732,6037,1,-,-,,001
25-0000001732,02-0000092549,0  ,20070601,20070601,195835.81672,541567.03397,-,002,001,0  ,-,001,2000-0000-000,25-001732,6038,1,-,-,,001
25-0000003184,02-0000092580,19 ,20090323  ,20090323  ,206762.675000042,561253.681245244,(주)에이치케이,001,002,0  ,5449101    ,001,2009-0101-012,25-003184,6040,1,001,-,,001
25-0000005720,02-0000092611,0  ,20100210  ,20100210  ,192561.899999954,556080.962494633,-,001,002,0  ,2358763    ,001,2009-0101-074,25-005720,6043,1,001,-,,001
25-0000000264,02-0000092677,0  ,20000101  ,20081020  ,196139.112499976,543661.437493178,아이엔티티,001,002,0  ,3123981    ,001,2008-0101-000,25-000264,6044,1,002,-,,001
25-0000000264,02-0000092677,0  ,00010101,00010101,196137.34968,543660.73253,-,004,001,0  ,-,001,2008-0101-000,25-000264,6045,1,002,-,,001
25-0000003532,02-0000092833,180,20080101  ,20080101  ,203346.36712543,561325.952303055,기타,001,002,0  ,4479311    ,001,2009-0101-019,25-003532,6047,1,004,-,,001
25-0000003239,02-0000092853,0  ,20090323  ,20090323  ,206029.275708706,561248.987539927,(주)에이치케이,001,002,0  ,5428794    ,001,2009-0101-012,25-003239,6048,1,001,-,,001
25-0000001015,02-0000092879,0  ,20070601  ,20091106  ,194870.490281454,549806.036626051,한국전기교통,001,002,1  ,3206314    ,001,2009-0101-055,25-001015,6049,1,002,-,,001
25-0000001015,02-0000092879,0  ,20070601,20070601,194872.68199,549805.21264,-,004,001,0  ,-,001,2009-0101-055,25-001015,6050,1,002,-,,001
25-0000003236,02-0000093045,0  ,20090323  ,20090323  ,205982.643333993,561452.413117003,(주)에이치케이,001,002,0  ,5429642    ,001,2009-0101-012,25-003236,6052,1,001,-,,001
25-0000004296,02-0000093231,0  ,20090901,20090930,192182.92204,557153.68579,.,001,001,0  ,-,001,2009-0101-052,25-004296,6053,1,003,-,,001
25-0000002412,02-0000093303,0  ,20081117,20081117,192731.2245,556862.53794,.,004,001,0  ,-,001,2008-0101-002,25-002412,6055,1,001,-,,001
25-0000005492,02-0000093468,0  ,20100222  ,20100222  ,190796.534727994,552866.208847783,아이엔티티,001,002,0  ,2322221    ,001,2009-0201-004,25-005492,6057,1,001,-,,001
25-0000000657,02-0000093526,0  ,20070601,20070601,206938.78998,556221.46592,-,001,001,0  ,-,001,2000-0000-000,25-000657,6058,1,-,-,,001
25-0000005587,02-0000093559,276,20100222,20100222,191801.7328,551104.39488,구전산업,001,002,0  ,-,001,2010-0101-001,25-005587,6059,1,001,-,,001
25-0000004387,02-0000093564,13 ,20090901  ,20090930  ,191671.607911032,551288.836631378,-,001,002,0  ,2239901    ,001,2009-0101-052,25-004387,6060,1,001,-,,001
25-0000004763,02-0000093577,0  ,20090429,20090429,191490.76694,551477.90769,(유)옵토피아,004,001,0  ,-,001,2009-0101-085,25-004763,6061,1,002,-,,001
25-0000004763,02-0000093577,0  ,20090429,20100222,191490.76694,551477.90769,구전산업,001,001,0  ,-,001,2009-0101-085,25-004763,6062,1,002,-,,001
25-0000005559,02-0000093589,0  ,20100222,20100222,191873.76755,550971.36009,구전산업,001,001,0  ,-,001,2010-0101-001,25-005559,6064,1,001,-,,001
25-0000005454,02-0000093609,0  ,20091226  ,20091226  ,203317.216287356,558087.044755919,(주)삼일신호공사,001,002,1  ,4472264    ,001,2009-0401-003,25-005454,6065,1,001,-,,001
25-0000005602,02-0000093625,12 ,20100222  ,20100222  ,190727.23881711,552159.374021439,구전산업,001,001,0  ,2320182    ,001,2010-0101-001,25-005602,6066,1,003,-,,001
25-0000004366,02-0000093653,7  ,20090901  ,20090930  ,189959.949999939,552770.67499424,-,001,002,0  ,2302502    ,001,2009-0101-052,25-004366,6067,1,001,-,,001
25-0000004367,02-0000093654,350,20090901  ,20090930  ,189940.79999994,552746.537494236,-,001,002,0  ,2301594    ,001,2009-0101-052,25-004367,6068,1,001,-,,001
25-0000004369,02-0000093656,357,20090901  ,20090930  ,189974.712499938,552721.162494235,-,001,002,0  ,2301593    ,001,2009-0101-052,25-004369,6069,1,001,-,,001
25-0000004368,02-0000093657,139,20090901  ,20090930  ,190001.024999938,552737.599994236,-,001,002,0  ,2301692    ,001,2009-0101-052,25-004368,6070,1,001,-,,001
25-0000005815,02-0000093658,0  ,20100219  ,20100219  ,189998.187499938,552760.23749424,-,001,002,0  ,2302604    ,001,2009-0101-074,25-005815,6071,1,001,-,,001
25-0000002445,02-0000093716,0  ,20081118,20081118,197662.31128,551477.698,.,004,001,1  ,-,001,2008-0101-002,25-002445,6074,1,001,-,,001
25-0000005599,02-0000093728,75 ,20100222  ,20100222  ,190281.30851593,552793.358112806,구전산업,001,002,0  ,2312202    ,001,2010-0101-001,25-005599,6076,1,001,-,,001
25-0000001312,02-0000093731,348,20070919  ,20070919  ,190112.880919129,552641.665803495,-,001,002,0  ,2301873    ,001,2000-0000-000,25-001312,6077,1,001,-,,001
25-0000005593,02-0000093732,64 ,20100222  ,20100222  ,190280.835329884,552844.788940955,구전산업,001,002,0  ,2312216    ,001,2010-0101-001,25-005593,6078,1,001,-,,001
25-0000005595,02-0000093733,0  ,20100222  ,20100222  ,190301.897829883,552856.663940955,구전산업,001,002,0  ,2312222    ,001,2010-0101-001,25-005595,6079,1,001,-,,001
25-0000001759,02-0000093734,0  ,20070601  ,20070601  ,190477.174999941,553037.187494272,-,001,002,0  ,2312652    ,001,2000-0000-000,25-001759,6080,1,-,-,,001
25-0000001832,02-0000093735,0  ,20070601  ,20070601  ,190500.787499939,553049.462494017,-,001,002,0  ,2312654    ,001,2000-0000-000,25-001832,6081,1,-,-,,001
25-0000001753,02-0000093737,0  ,20070601,20070601,190457.03196,553082.18853,-,002,001,0  ,-,001,2000-0000-000,25-001753,6083,1,-,-,,001
25-0000001753,02-0000093737,0  ,20070601,20070601,190457.03196,553082.18853,-,001,001,0  ,-,001,2000-0000-000,25-001753,6084,1,-,-,,001
25-0000001754,02-0000093738,0  ,20070601,20070601,190526.805,553071.58569,-,002,001,0  ,-,001,2000-0000-000,25-001754,6085,1,-,-,,001
25-0000001754,02-0000093738,0  ,20070601,20070601,190526.805,553071.58569,-,001,001,0  ,-,001,2000-0000-000,25-001754,6086,1,-,-,,001
25-0000001755,02-0000093739,0  ,20070601  ,20070601  ,190515.200928703,553088.905779901,-,001,002,0  ,2312662    ,001,2000-0000-000,25-001755,6087,1,-,-,,001
25-0000000313,02-0000093749,0  ,00010101,00010101,192280.98516,550258.5844,-,002,001,0  ,-,001,2000-0000-000,25-000313,6088,1,-,-,,001
25-0000006922,02-0000107133,0  ,00010101,00010101,191405.08278,541252.93169,-,004,001,0  ,-,001,2000-0000-000,25-006922,6999,1,-,-,,001
25-0000006222,02-0000107150,337,20100309  ,20100309  ,192529.812499956,542045.593742987,-,001,002,1  ,2150751    ,001,2010-0101-041,25-006222,7000,1,001,-,,001
25-0000006175,02-0000107160,0  ,20100303  ,20100303  ,195599.191174042,542170.706186009,-,001,002,0  ,3110882    ,001,2010-0101-041,25-006175,7002,1,001,-,,001
25-0000006926,02-0000107184,69 ,-,-,191465.37255,541881.8125,-,001,001,0  ,-,001,2000-0000-000,25-006926,7003,1,003,-,,001
25-0000001766,02-0000107199,0  ,20070601  ,20111213  ,195835.990079331,542506.545661505,아이엔티티,001,002,0  ,3121353    ,001,2012-0101-005,25-001766,7004,1,002,-,,001
25-0000001766,02-0000107199,0  ,20070601,20070601,195835.77155,542504.03808,-,004,001,0  ,-,001,2012-0101-005,25-001766,7005,1,002,-,,001
25-0000002756,02-0000107254,0  ,20090120,20090120,194581.43073,545986.40406,-,002,001,1  ,-,001,2008-0101-014,25-002756,7006,1,001,-,,001
25-0000002756,02-0000107254,0  ,20090120,20090120,194581.43073,545986.40406,안전,001,001,1  ,-,001,2008-0101-014,25-002756,7007,1,001,-,,001
25-0000001088,02-0000107320,0  ,20070601,20070601,192725.33129,547755.68878,-,004,001,0  ,-,001,2008-1101-047,25-001088,7008,1,005,-,,001
25-0000008685,02-0000107381,0  ,20000101  ,20120915  ,208576.84781702,548718.797990558,삼일안전시스템,001,002,1  ,5273793    ,001,2012-0101-074,25-008685,7011,1,002,-,,001
25-0000008685,02-0000107381,0  ,00010101,00010101,208579.55535,548721.73682,-,004,001,0  ,-,001,2012-0101-074,25-008685,7012,1,002,-,,001
25-0000006756,02-0000107401,0  ,20091201  ,20091201  ,193341.63749996,546936.17499356,한국노인생활,001,002,1  ,2270331    ,001,2000-0000-000,25-006756,7014,1,-,-,,001
25-0000006755,02-0000107402,0  ,20091201  ,20091201  ,193339.096406324,546960.765422153,한국노인생활,001,002,1  ,2270341    ,001,2000-0000-000,25-006755,7015,1,-,-,,001
25-0000003892,02-0000107436,0  ,20090627  ,20090627  ,193873.086461452,546980.862474628,엠아이티엔터프라이즈,001,002,1  ,2280341    ,001,2009-0101-041,25-003892,7016,1,001,-,,001
25-0000002922,02-0000107465,180,20090203,20090203,192813.48209,546080.59154,(주)안전,004,001,1  ,-,001,2008-0101-024,25-002922,7019,1,001,-,,001
25-0000002921,02-0000107465,180,20090203,20090203,192813.48209,546080.59154,(주)안전,004,001,1  ,-,001,2008-0101-024,25-002921,7020,1,001,-,,001
25-0000002923,02-0000107469,0  ,20090203,20090203,193124.09958,546005.52067,-,002,001,1  ,-,001,2008-0101-024,25-002923,7021,1,001,-,,001
25-0000002923,02-0000107469,180,20090203,20090203,193124.09958,546005.52067,(주)안전,004,001,1  ,-,001,2008-0101-024,25-002923,7022,1,001,-,,001
25-0000002923,02-0000107469,0  ,20090203,20090203,193124.09958,546005.52067,-,001,001,1  ,-,001,2008-0101-024,25-002923,7023,1,001,-,,001
25-0000001516,02-0000107472,0  ,20070601,20070601,193081.38265,547234.64312,-,001,002,1  ,-,001,2000-0000-000,25-001516,7024,1,-,-,,001
25-0000001516,02-0000107472,0  ,20070601,20070601,193081.38265,547234.64312,-,004,001,0  ,-,001,2000-0000-000,25-001516,7025,1,-,-,,001
25-0000008664,02-0000107543,73 ,20000101  ,20000101  ,192503.62169647,542019.706411018,-,001,002,1  ,21506510   ,001,2000-0000-000,25-008664,7028,1,-,-,,001
25-0000006223,02-0000107547,157,20100309,20100309,192528.78706,542031.43987,-,001,002,1  ,-,001,2010-0101-041,25-006223,7029,1,001,-,,001
25-0000002339,02-0000107554,240,20080701  ,20080701  ,191824.574999949,542677.843743061,구전산전,001,002,0  ,2141285    ,001,2007-0501-666,25-002339,7030,1,001,-,,001
25-0000003946,02-0000107576,92 ,20090627,20090627,190420.29614,543581.37067,엠아이티엔터프라이즈,001,002,1  ,-,001,2009-0101-041,25-003946,7031,1,001,-,,001
25-0000006081,02-0000107590,355,20100630  ,20100630  ,191831.949999951,539051.993742641,삼일신호,001,002,1  ,2044363    ,001,2010-1101-003,25-006081,7032,1,001,-,,001
25-0000008224,02-0000107604,265,20000101,20000101,187781.0756,544968.89066,-,001,002,1  ,-,001,2000-0000-000,25-008224,7033,1,-,-,,001
25-0000008287,02-0000107640,94 ,20000101  ,20000101  ,191352.237499947,540688.543742827,-,001,002,0  ,2037381    ,001,2000-0000-000,25-008287,7034,1,001,-,,001
25-0000003903,02-0000107655,0  ,20090627,20090627,186086.92281,545542.25257,-,001,001,0  ,-,001,2009-0101-041,25-003903,7035,1,001,-,,001
25-0000003903,02-0000107655,0  ,20090627,20090627,186086.92281,545542.25257,엠아이티엔터프라이즈,004,001,0  ,-,001,2009-0101-041,25-003903,7036,1,001,-,,001
25-0000002907,02-0000107713,35 ,20090203  ,20090203  ,190802.687499943,544409.062493259,-,001,002,1  ,2125231    ,001,2008-0101-024,25-002907,7037,1,001,-,,001
25-0000002907,02-0000107713,180,20090203,20090203,190806.20268,544414.34922,(주)안전,004,001,1  ,-,001,2008-0101-024,25-002907,7038,1,001,-,,001
25-0000002953,02-0000107733,102,20090204  ,20090204  ,190935.216086572,544528.814762843,(주)안전,001,002,1  ,2125551    ,001,2008-0101-024,25-002953,7040,1,001,-,,001
25-0000000873,02-0000107778,0  ,20070601,20070601,191718.82789,543310.09431,-,004,001,0  ,-,001,2009-0101-099,25-000873,7041,1,001,-,,001
25-0000008255,02-0000107789,0  ,20000101  ,20000101  ,188254.69999993,545647.181243276,-,001,002,1  ,1177172    ,001,2000-0000-000,25-008255,7043,1,001,-,,001
25-0000001098,02-0000107869,0  ,20070601,20070601,187838.4744,544151.09233,기타,002,001,0  ,-,001,2010-0401-004,25-001098,7045,1,004,-,,001
25-0000001098,02-0000107869,0  ,20070601,20070601,187838.4744,544151.09233,-,001,001,0  ,-,001,2010-0401-004,25-001098,7046,1,004,-,,001
25-0000006518,02-0000107885,45 ,20000101,20000101,190893.52471,543718.82951,-,001,001,0  ,-,001,2000-0000-000,25-006518,7048,1,003,-,,001
25-0000002904,02-0000107891,180,20090202,20090202,190542.6082,544217.59179,(주)안전,001,001,1  ,-,001,2008-0101-024,25-002904,7049,1,001,-,,001
25-0000003943,02-0000107909,0  ,20090627,20090627,189353.14715,544811.29407,엠아이티엔터프라이즈,002,001,0  ,-,001,2009-0101-041,25-003943,7051,1,001,-,,001
25-0000003942,02-0000107917,108,20090627  ,20090627  ,189358.837499935,544846.306243315,엠아이티엔터프라이즈,001,002,0  ,1196315    ,001,2009-0101-041,25-003942,7052,1,001,-,,001
25-0000006393,02-0000107996,0  ,20100512,20100512,190288.66131,545142.3109,0,004,001,0  ,-,001,2010-0101-016,25-006393,7055,1,001,-,,001
25-0000001538,02-0000107996,0  ,20100512,20100512,190288.66131,545142.3109,0,002,001,0  ,-,001,2010-0101-016,25-001538,7056,1,001,-,,001
25-0000006473,02-0000107996,0  ,20080101  ,20100723  ,190290.562499939,545141.381243349,-,001,002,0  ,2116274    ,001,2010-0101-016,25-006473,7057,1,004,-,,001
25-0000006472,02-0000107996,0  ,20080101  ,20100610  ,190288.66131,545142.310899865,-,001,001,0  ,2116276    ,001,2010-0101-016,25-006472,7058,1,003,-,,001
25-0000006393,02-0000107996,0  ,20100512  ,20100512  ,190289.812499941,545142.631243348,-,001,002,0  ,2116273    ,001,2010-0101-016,25-006393,7059,1,001,-,,001
25-0000001538,02-0000107996,0  ,20100512  ,20100512  ,190288.66131,545142.310899865,-,001,001,0  ,2116275    ,001,2010-0101-016,25-001538,7060,1,003,-,,001
25-0000001538,02-0000107996,0  ,20070601,20070601,190288.66131,545142.3109,-,004,001,0  ,-,001,2010-0101-016,25-001538,7061,1,001,-,,001
25-0000000387,02-0000057876,0  ,20011015,20011015,207915.17063,550350.83414,-,004,001,0  ,-,001,2009-0101-035,25-000387,3940,1,004,-,,001
25-0000000387,02-0000057876,237,20011015  ,20011015  ,207913.042495321,550349.045573726,-,001,002,0  ,5267413    ,001,2009-0101-035,25-000387,3941,1,004,-,,001
25-0000000953,02-0000057880,0  ,20070601,20070601,207963.91297,550233.27336,-,001,001,0  ,-,001,2009-0101-035,25-000953,3942,1,004,-,,001
25-0000000953,02-0000057880,0  ,20070601,20070601,207963.91297,550233.27336,-,004,001,0  ,-,001,2009-0101-035,25-000953,3943,1,004,-,,001
25-0000000126,02-0000057885,0  ,00010101,00010101,208048.23233,550084.47365,-,002,001,0  ,-,001,2000-0000-000,25-000126,3944,1,-,-,,001
25-0000000126,02-0000057885,0  ,00010101,00010101,208048.23233,550084.47365,-,002,001,0  ,-,001,2000-0000-000,25-000126,3945,1,-,-,,001
25-0000003689,02-0000057974,0  ,20000101,20000101,202459.81282,551685.41316,-,001,002,0  ,-,001,2000-0000-000,25-003689,3946,1,-,-,,001
25-0000003691,02-0000057976,304,20000101,20000101,202255.33335,551738.60762,-,001,002,0  ,-,001,2000-0000-000,25-003691,3947,1,-,-,,001
25-0000002928,02-0000058085,180,20090203  ,20201008  ,191166.45417446,545484.360941735,아이엔티티,001,002,1  ,2127943    ,001,2020-0101-102,25-002928,3952,1,002,-,,001
25-0000016725,02-0000128435,-,20201211  ,20201211  ,204538.412500028,557631.831244814,진우산전㈜,001,002,1  ,44917710   ,001,2020-0201-129,25-016725,19042,-,001,-,,001
25-0000017829,02-0000203678,-,20201211  ,20201211  ,204559.752697581,557642.358942366,진우산전㈜,001,002,1  ,44917710   ,001,2020-0201-129,25-017829,20146,-,001,-,,001
25-0000017828,02-0000203676,-,20201211  ,20201211  ,204569.350000029,557626.831244814,진우산전㈜,001,002,1  ,44917710   ,001,2020-0201-129,25-017828,20145,-,001,-,,001
25-0000006382,02-0000058312,0  ,20100804,20100804,205819.28408,556391.04712,아이엔티티,001,002,0  ,-,001,2010-0101-061,25-006382,3954,1,001,-,,001
25-0000017810,02-0000215390,-,20201204  ,20201204  ,204440.115295088,562744.654163297,아이엔티티,001,002,1  ,4591595    ,001,2020-0501-012,25-017810,20127,-,001,-,,001
25-0000001265,02-0000058407,0  ,20070919,20070919,202107.49628,551723.62203,-,004,001,0  ,-,001,2013-0101-005,25-001265,3958,1,002,-,,001
25-0000007218,02-0000058420,244,20110513,20110513,207737.07945,551254.55279,관급,001,002,0  ,-,001,2011-0101-030,25-007218,3959,1,001,-,,001
25-0000007219,02-0000058426,38 ,20110513  ,20110513  ,207722.312500046,551245.981244064,관급,001,002,0  ,5268091    ,001,2011-0101-030,25-007219,3960,1,001,-,,001
25-0000007212,02-0000058442,0  ,20110513  ,20110613  ,207547.662500045,551223.09374406,관급,001,002,1  ,5258793    ,001,2011-0101-030,25-007212,3961,1,001,-,,001
25-0000017813,02-0000215391,-,20201129  ,20201129  ,203579.837500023,555295.31874454,아이엔티티,001,002,1  ,4377801    ,001,2020-0501-012,25-017813,20130,-,001,-,,001
25-0000014937,02-0000199400,-,20171130  ,20171130  ,199953.915263694,554860.217098568,㈜양광시스템,001,002,1  ,4306521    ,001,2017-0201-093,25-014937,17254,-,001,-,,001
25-0000014938,02-0000199404,-,20171130  ,20171130  ,199960.336207681,554845.509928972,㈜양광시스템,001,002,1  ,4306511    ,001,2017-0201-093,25-014938,17255,-,001,-,,001
25-0000003635,02-0000058507,0  ,20000101,20000101,203921.07175,550236.86413,-,001,002,0  ,-,001,2000-0000-000,25-003635,3966,1,-,-,,001
25-0000009307,02-0000058594,336,20000101,20000101,185602.9151,548660.65914,-,001,001,1  ,-,001,2000-0000-000,25-009307,3968,1,003,-,,001
25-0000008567,02-0000058635,121,20000101  ,20000101  ,185338.987499911,548577.231243748,-,001,002,1  ,1213362    ,001,2000-0000-000,25-008567,3969,1,001,-,,001
25-0000015238,02-0000193867,-,20151025  ,20151025  ,184625.699999906,548907.518743785,-,001,002,1  ,0294834    ,001,-,25-015238,17555,-,001,-,,001
25-0000014905,02-0000199121,161,20181102  ,20181102  ,203293.39098,556553.41098,신한교통,001,002,1  ,4379261    ,001,2018-0101-117,25-014905,17222,1,001,-,,001
25-0000014904,02-0000117160,240,20181102  ,20181102  ,201573.6969,559093.76947,-,001,002,1  ,4434762    ,001,2018-0101-117,25-014904,17221,1,001,-,,001
25-0000014903,02-0000199120,59 ,20181102  ,20181102  ,201560.04175,559095.12861,-,001,002,1  ,4434761    ,001,2018-0101-117,25-014903,17220,1,001,-,,001
25-0000017812,02-0000090454,-,20201206  ,20201206  ,204281.721622786,562738.807286765,아이엔티티,001,002,1  ,4591291    ,001,2020-0501-012,25-017812,20129,-,001,-,,001
25-0000014906,02-0000199122,347,20181102  ,20181102  ,203293.37598,556563.09931,신한교통,001,002,1  ,4379262    ,001,2018-0101-117,25-014906,17223,1,001,-,,001
25-0000001262,02-0000058748,317,20070919  ,20070919  ,205898.23370345,551315.231755558,-,001,002,0  ,5229413    ,001,2000-0000-000,25-001262,3978,1,001,-,,001
25-0000006336,02-0000058755,0  ,20100806,20100806,208248.6456,548647.66955,아이엔티티,001,001,1  ,-,001,2010-0101-054,25-006336,3979,1,001,-,,001
25-0000006339,02-0000058756,0  ,20100806,20100806,208223.17211,548656.49452,아이엔티티,001,001,1  ,-,001,2010-0101-054,25-006339,3980,1,001,-,,001
25-0000006334,02-0000058757,0  ,20100806,20100806,208231.08056,548653.3969,아이엔티티,001,001,1  ,-,001,2010-0101-054,25-006334,3981,1,001,-,,001
25-0000000956,02-0000058771,0  ,20070601  ,20070601  ,208313.600000052,548492.68124374,-,001,002,0  ,5273242    ,001,2000-0000-000,25-000956,3983,1,-,-,,001
25-0000003434,02-0000058772,0  ,20090417  ,20090417  ,208336.975000052,548505.018743741,-,001,002,1  ,5273352    ,001,2009-0101-010,25-003434,3984,1,001,-,,001
25-0000008683,02-0000058775,0  ,20000101  ,20000101  ,208302.112500051,548444.143743735,-,001,002,0  ,5273231    ,001,2000-0000-000,25-008683,3985,1,001,-,,001
25-0000000453,02-0000058780,0  ,20061127  ,20061127  ,208352.287500051,548411.881243731,-,001,002,0  ,5273331    ,001,2000-0000-000,25-000453,3986,1,-,-,,001
25-0000000454,02-0000058781,0  ,20061127  ,20061127  ,208339.900000051,548392.031243727,-,001,002,0  ,5273321    ,001,2000-0000-000,25-000454,3987,1,-,-,,001
25-0000000122,02-0000058813,116,20000101  ,20000101  ,184616.512499906,548859.69374378,-,001,002,1  ,0294827    ,001,2009-1201-004,25-000122,3988,1,002,-,,001
25-0000002049,02-0000058815,0  ,20080611,20080611,201253.43885,551195.37873,-,002,001,0  ,-,001,2008-0101-671,25-002049,3989,1,001,-,,001
25-0000002049,02-0000058815,0  ,20080611,20080611,201253.43885,551195.37873,두원테크,001,001,0  ,-,001,2008-0101-671,25-002049,3990,1,001,-,,001
25-0000003906,02-0000059005,0  ,20090627  ,20090627  ,188016.612499926,546448.156243501,엠아이티엔터프라이즈,001,002,0  ,1169631    ,001,2009-0101-041,25-003906,3992,1,001,-,,001
25-0000003905,02-0000059006,273,20090627  ,20090627  ,188018.624999929,546465.856243501,엠아이티엔터프라이즈,001,002,0  ,1169646    ,001,2009-0101-041,25-003905,3993,1,001,-,,001
25-0000007625,02-0000059035,0  ,20110628  ,20110628  ,208389.437500052,548528.906243742,-,001,002,0  ,5273452    ,001,2011-0101-035,25-007625,3994,1,001,-,,001
25-0000007408,02-0000059035,0  ,20111025,20111025,208388.20607,548531.20442, ,002,001,0  ,-,001,2011-0101-071,25-007408,3995,1,004,-,,001
25-0000007624,02-0000059036,0  ,20110628  ,20110628  ,208364.437500052,548519.531243744,-,001,002,1  ,5273356    ,001,2011-0101-035,25-007624,3996,1,001,-,,001
25-0000007410,02-0000059036,0  ,20111025,20111025,208367.12612,548521.45635, ,002,001,0  ,-,001,2011-0101-071,25-007410,3997,1,004,-,,001
25-0000007623,02-0000059038,0  ,20110628  ,20110728  ,208366.500000051,548533.093743744,-,001,002,1  ,5273355    ,001,2011-0101-035,25-007623,3998,1,001,-,,001
25-0000007787,02-0000059038,0  ,20111003  ,20111003  ,208366.562500051,548532.968743607,-,001,001,0  ,5273354    ,001,2011-0101-071,25-007787,3999,1,003,-,,001
25-0000007409,02-0000059038,0  ,20111025,20111025,208364.9269,548534.90451, ,002,001,0  ,-,001,2011-0101-071,25-007409,4000,1,-,-,,001
25-0000003630,02-0000059043,0  ,00010101,00010101,204167.87637,550249.12347,-,002,001,0  ,-,001,2000-0000-000,25-003630,4001,1,-,-,,001
25-0000003630,02-0000059043,0  ,00010101,00010101,204167.87637,550249.12347,-,001,001,0  ,-,001,2000-0000-000,25-003630,4002,1,-,-,,001
25-0000003637,02-0000059063,0  ,20000101  ,20000101  ,203927.075000026,550029.57499392,-,001,002,0  ,4286551    ,001,2000-0000-000,25-003637,4003,1,001,-,,001
25-0000003636,02-0000059067,0  ,20000101  ,20000101  ,203895.2766,550020.58413,-,001,002,0  ,4286451    ,001,2000-0000-000,25-003636,4004,1,001,-,,001
25-0000002212,02-0000077540,0  ,20100120,20100120,202227.87924,556048.86065,아이엔티티,004,001,0  ,-,001,2010-0111-004,25-002212,4986,1,002,-,,001
25-0000002212,02-0000077540,0  ,20080101,20080901,202227.87924,556048.86065,관급,004,001,0  ,-,001,2010-0111-004,25-002212,4987,1,002,-,,001
25-0000000605,02-0000077658,0  ,20100120,20111110,202771.62029,556189.82252,아이엔티티,003,001,0  ,-,001,2011-1101-074,25-000605,4988,1,001,-,,001
25-0000000605,02-0000077658,0  ,20100120,20100120,202771.62029,556189.82252,아이엔티티,004,001,0  ,-,001,2011-1101-074,25-000605,4989,1,001,-,,001
25-0000000605,02-0000077658,0  ,20070601,20070601,202771.62029,556189.82252,-,004,001,0  ,-,001,2011-1101-074,25-000605,4990,1,001,-,,001
25-0000008936,02-0000077717,0  ,20111110,20111110,202847.0085,556039.62486,-,002,001,0  ,-,001,2000-0000-000,25-008936,4992,1,-,-,,001
25-0000008936,02-0000077717,0  ,20111110,20111110,202847.0085,556039.62486,-,002,001,0  ,-,001,2000-0000-000,25-008936,4993,1,-,-,,001
25-0000000637,02-0000077717,0  ,20070601,20070601,202847.0085,556039.62486,-,002,001,0  ,-,001,2008-0101-004,25-000637,4994,1,002,-,,001
25-0000000637,02-0000077717,0  ,20070601,20070601,202847.0085,556039.62486,관급,002,001,0  ,-,001,2008-0101-004,25-000637,4995,1,002,-,,001
25-0000000637,02-0000077717,0  ,20070601,20070601,202847.0085,556039.62486,-,004,001,0  ,-,001,2008-0101-004,25-000637,4996,1,002,-,,001
25-0000008678,02-0000077743,0  ,20000101  ,20000101  ,207362.755556343,548582.653986596,-,001,002,0  ,5253361    ,001,2000-0000-000,25-008678,4998,1,-,-,,001
25-0000005016,02-0000077753,0  ,20091217  ,20091217  ,208968.275000056,557158.58124476,INTT,001,002,0  ,5480582    ,001,2009-1101-123,25-005016,4999,1,004,-,,001
25-0000005016,02-0000077753,0  ,20091217,20091217,208968.80479,557160.03793,INTT,004,001,0  ,-,001,2009-1101-123,25-005016,5000,1,004,-,,001
25-0000005015,02-0000077757,0  ,20091217  ,20091217  ,208944.525000056,557171.643744762,INTT,001,002,0  ,5480581    ,001,2009-0201-006,25-005015,5001,1,001,-,,001
